"✔Click to move selected players to the top","Player","forInfoClick  for player info popup","Team","PosPosition","CostPlayer's current price","MeritHow good the player is in terms of likelihood to score FPL points","FormOver/under-performance over the last 4 gameweeks compared to predicted points","Prob. ofAppear-ingProbability that the player will play at all in the next match","PtsRest OfSeasonPredicted FPL points for the rest of the season","ValueRest OfSeasonPlayer's value for the rest of the season (predicted points per million pounds excess cost)","PointsSo Far","OfficialChancePlayer's official chance of playing the next match","OfficialAvailability","SelectedBy %Percentage of managers owning this player","TransfersIn GWNumber of transfers in since the last transfer deadline","TransfersOut GWNumber of transfers out since the last transfer deadline","News"
"","Haaland","","MCI","FWD","14.7","5.59","1","0.81","0","0","239","100","Available","62.5","0","0",""
"","B.Fernandes","","MUN","MID","10.4","6.46","1","0.96","0","0","235","100","Available","48.0","0","0",""
"","Gabriel","","ARS","DEF","7.3","4.99","1","0.96","0","0","209","100","Available","45.4","0","0",""
"","Semenyo","","MCI","MID","8","4.12","1","0.96","0","0","202","100","Available","46.2","0","0",""
"","Gibbs-White","","NFO","MID","7.6","4.42","1","0.93","0","0","188","100","Available","9.2","0","0",""
"","Bowen","","WHU","FWD","7.8","4.04","1","0.96","0","0","187","100","Available","17.5","0","0",""
"","Rice","","ARS","MID","7.2","4.66","1","0.96","0","0","184","100","Available","23.3","0","0",""
"","Thiago","","BRE","FWD","7.2","4.51","1","0.96","0","0","181","100","Available","30.2","0","0",""
"","Anderson","","NFO","MID","5.7","4.67","1","0.96","0","0","180","100","Available","9.4","0","0",""
"","Guéhi","","MCI","DEF","5.1","4.17","1","0.95","0","0","179","100","Available","32.6","0","0",""
"","João Pedro","","CHE","FWD","7.4","4.08","1","0.4","0","0","177","100","Available","34.8","0","0",""
"","Virgil","","LIV","DEF","6.1","4.41","1","0.96","0","0","175","100","Available","31.5","0","0",""
"","Senesi","","BOU","DEF","5.2","4.42","1","0.96","0","0","175","100","Available","22.0","0","0",""
"","Tarkowski","","EVE","DEF","5.8","3.62","1","0.93","0","0","170","100","Available","12.6","0","0",""
"","Rogers","","AVL","MID","7.3","3.99","1","0.96","0","0","169","100","Available","20.2","0","0",""
"","Wilson","","FUL","MID","5.8","3.33","1","0.95","0","0","168","100","Available","17.4","0","0",""
"","Watkins","","AVL","FWD","8.7","4.83","1","0.96","0","0","167","100","Available","13.0","0","0",""
"","Casemiro","","MUN","MID","5.8","3.99","1","0","0","0","165","100","Available","3.8","0","0",""
"","Truffert","","BOU","DEF","4.8","3.91","1","0.93","0","0","165","100","Available","5.3","0","0",""
"","Raya","","ARS","GK","6.2","3.84","1","0.92","0","0","162","100","Available","36.4","0","0",""
"","Szoboszlai","","LIV","MID","7.1","4.86","1","0.95","0","0","160","100","Available","15.1","0","0",""
"","O'Reilly","","MCI","DEF","5.3","4.46","1","0.83","0","0","160","100","Available","19.2","0","0",""
"","Garner","","EVE","MID","5.2","3.88","1","0.96","0","0","159","100","Available","3.6","0","0",""
"","Saka","","ARS","MID","10","4.39","1","0.93","0","0","157","100","Available","11.6","0","0",""
"","Enzo","","CHE","MID","6.5","4.34","1","0.91","0","0","157","100","Available","12.3","0","0",""
"","Bruno G.","","NEW","MID","6.9","4.21","1","0.91","0","0","154","100","Available","6.5","0","0",""
"","Lacroix","","CRY","DEF","5.2","4.1","1","0.93","0","0","154","100","Available","7.1","0","0",""
"","Matheus N.","","MCI","DEF","5.3","3.35","1","0.95","0","0","154","100","Available","2.9","0","0",""
"","Mukiele","","SUN","DEF","4.6","3.69","1","0.93","0","0","151","100","Available","8.7","0","0",""
"","Dewsbury-Hall","","EVE","MID","5.3","4.4","1","0.95","0","0","151","100","Available","7.9","0","0",""
"","J.Timber","","ARS","DEF","6","4.22","1","0.1","0","0","149","25","Doubtful","15.2","0","0","Lack of match fitness - 25% chance of playing"
"","Mbeumo","","MUN","MID","8.3","4.55","1","0.96","0","0","148","100","Available","15.0","0","0",""
"","Van Hecke","","BHA","DEF","4.7","3.99","1","0.95","0","0","148","100","Available","10.7","0","0",""
"","E.Le Fée","","SUN","MID","4.8","4.64","1","0.93","0","0","147","100","Available","1.6","0","0",""
"","Gravenberch","","LIV","MID","5.4","3.04","1","0.96","0","0","144","100","Available","3.7","0","0",""
"","Kelleher","","BRE","GK","4.8","3.58","1","0.92","0","0","143","100","Available","12.0","0","0",""
"","Cunha","","MUN","MID","8.1","3.82","1","0.88","0","0","143","100","Available","8.7","0","0",""
"","Calvert-Lewin","","LEE","FWD","5.8","3.58","1","0.95","0","0","142","100","Available","13.7","0","0",""
"","Tavernier","","BOU","MID","5.3","4.73","1","0.95","0","0","137","100","Available","4.2","0","0",""
"","Saliba","","ARS","DEF","6.3","4.12","1","0.91","0","0","137","100","Available","17.1","0","0",""
"","Stach","","LEE","MID","4.8","4.15","1","0.01","0","0","137","0","Injured","1.7","0","0","Ankle injury - Expected back 01 Jun"
"","Chalobah","","CHE","DEF","5.4","3.04","1","0.81","0","0","136","100","Available","8.8","0","0",""
"","Muñoz","","CRY","DEF","5.9","3.8","1","0.95","0","0","136","100","Available","9.2","0","0",""
"","Roefs","","SUN","GK","4.8","3.36","1","0.92","0","0","136","100","Available","8.0","0","0",""
"","Scott","","BOU","MID","4.9","4.13","1","0.96","0","0","136","100","Available","2.1","0","0",""
"","O.Dango","","BRE","MID","5.6","3.99","1","0.96","0","0","136","100","Available","1.6","0","0",""
"","Pickford","","EVE","GK","5.6","3.05","1","0.92","0","0","135","100","Available","13.0","0","0",""
"","Donnarumma","","MCI","GK","5.6","3.4","1","0.92","0","0","135","100","Available","9.3","0","0",""
"","Mitchell","","CRY","DEF","5","2.96","1","0.96","0","0","135","100","Available","2.3","0","0",""
"","Cherki","","MCI","MID","6.5","3.82","1","0.93","0","0","135","100","Available","17.4","0","0",""
"","M.Fernandes","","WHU","MID","5.5","3.88","1","0.96","0","0","135","100","Available","0.6","0","0",""
"","Ampadu","","LEE","MID","4.9","3.62","1","0.96","0","0","134","100","Available","0.6","0","0",""
"","Zubimendi","","ARS","MID","4.9","3.09","1","0.93","0","0","133","100","Available","2.7","0","0",""
"","Keane","","EVE","DEF","4.5","3.03","1","0.9","0","0","131","100","Available","3.1","0","0",""
"","Henderson","","CRY","GK","5.1","3.24","1","0.92","0","0","131","100","Available","9.0","0","0",""
"","Foden","","MCI","MID","8","3.15","1","0.87","0","0","131","100","Available","7.8","0","0",""
"","Gakpo","","LIV","MID","7.3","3.75","1","0.96","0","0","131","100","Available","5.6","0","0",""
"","Verbruggen","","BHA","GK","4.6","3.47","1","0.92","0","0","130","100","Available","9.3","0","0",""
"","Konaté","","LIV","DEF","5.4","3.65","1","0.93","0","0","129","100","Available","3.8","0","0",""
"","Collins","","BRE","DEF","4.9","3.25","1","0.92","0","0","129","100","Available","2.4","0","0",""
"","N.Williams","","NFO","DEF","4.8","3.5","1","0.96","0","0","128","100","Available","4.2","0","0",""
"","Gyökeres","","ARS","FWD","9.1","3.31","1","0.93","0","0","128","100","Available","16.4","0","0",""
"","Richards","","CRY","DEF","4.4","3.35","1","0.01","0","0","128","0","Injured","2.2","0","0","Ankle injury - Expected back 01 Jun"
"","Ndiaye","","EVE","MID","6.3","3.98","1","0.95","0","0","128","100","Available","4.7","0","0",""
"","Anthony","","BUR","MID","5","3.42","1","0.96","0","0","127","100","Available","2.4","0","0",""
"","Welbeck","","BHA","FWD","6.3","3.36","1","0.96","0","0","126","100","Available","8.4","0","0",""
"","J.Palhinha","","TOT","MID","5.5","3.01","1","0.89","0","0","126","100","Available","0.9","0","0",""
"","Aaronson","","LEE","MID","5.4","2.82","1","0.65","0","0","126","100","Available","0.8","0","0",""
"","Thiaw","","NEW","DEF","4.9","3.88","1","0.93","0","0","126","100","Available","4.7","0","0",""
"","Alderete","","SUN","DEF","4.1","3.06","1","0.29","0","0","125","50","Doubtful","4.9","0","0","Knock - 50% chance of playing"
"","Neto","","CHE","MID","7","3.23","1","0.79","0","0","125","100","Available","3.9","0","0",""
"","Wirtz","","LIV","MID","8.3","3.71","1","0.8","0","0","125","100","Available","8.5","0","0",""
"","Ekitiké","","LIV","FWD","9","3.49","1","0","0","0","125","0","Injured","15.7","0","0","Achilles injury - Expected back 01 Jul"
"","Schade","","BRE","MID","6.8","3.7","1","0.94","0","0","125","100","Available","1.3","0","0",""
"","Xhaka","","SUN","MID","5.1","3.15","1","0.95","0","0","124","100","Available","3.2","0","0",""
"","Petrović","","BOU","GK","4.6","3.07","1","0.92","0","0","124","100","Available","5.2","0","0",""
"","M.Salah","","LIV","MID","14","4.32","1","0.9","0","0","123","100","Available","15.2","0","0",""
"","Andersen","","FUL","DEF","4.4","2.82","1","0","0","0","123","0","Suspended","2.8","0","0","Suspended until 29 Aug"
"","Leno","","FUL","GK","5","3.35","1","0.92","0","0","122","100","Available","2.3","0","0",""
"","Mavropanos","","WHU","DEF","4.5","3.79","1","0.96","0","0","122","100","Available","2.6","0","0",""
"","Martinez","","AVL","GK","5","3.48","1","0.92","0","0","120","100","Available","4.4","0","0",""
"","Doku","","MCI","MID","6.5","3.37","1","0.94","0","0","120","100","Available","6.6","0","0",""
"","Trossard","","ARS","MID","6.6","3.08","1","0.87","0","0","119","100","Available","1.8","0","0",""
"","Richarlison","","TOT","FWD","6.5","3.91","1","0.89","0","0","119","100","Available","8.7","0","0",""
"","Milenković","","NFO","DEF","5.1","3.05","1","0.96","0","0","119","100","Available","3.3","0","0",""
"","F.Kadıoğlu","","BHA","DEF","4.5","3.8","1","0.96","0","0","118","100","Available","1.4","0","0",""
"","Cash","","AVL","DEF","4.6","2.81","1","0.94","0","0","117","100","Available","7.4","0","0",""
